,geometry,SpeedLimit,STREETNAME,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg,element_type,highway,nodes,lanes,maxspeed,name,oneway_no,oneway_yes
35,"LINESTRING (-122.46830960848636 37.73741714787296, -122.46843197779349 37.737282821509076, -122.46876259264766 37.73705468588605, -122.46924791014459 37.73664760505967)",35,PORTOLA DR,23.5,5.0,31.35,38.38,43.5,way,primary,"[65291587, 3645308400]",2,35,Portola Drive,0,1
35,"LINESTRING (-122.46830960848636 37.73741714787296, -122.46843197779349 37.737282821509076, -122.46876259264766 37.73705468588605, -122.46924791014459 37.73664760505967)",35,PORTOLA DR,23.5,5.0,31.35,38.38,43.5,way,primary_link,"[3645308401, 3645308400]",2,25,nan,1,0
35,"LINESTRING (-122.46830960848636 37.73741714787296, -122.46843197779349 37.737282821509076, -122.46876259264766 37.73705468588605, -122.46924791014459 37.73664760505967)",35,PORTOLA DR,23.5,5.0,31.35,38.38,43.5,way,primary_link,"[3645308400, 3645308401]",2,25,nan,1,0
36,"LINESTRING (-122.46584491055397 37.738493639687, -122.46474557803421 37.73788548012592, -122.46313558981997 37.73702335603207)",25,YERBA BUENA AVE,13.84,2.07,20.11,27.97,33.49,way,residential,"[65330344, 65330342]",2,25,Santa Paula Avenue,1,0
36,"LINESTRING (-122.46584491055397 37.738493639687, -122.46474557803421 37.73788548012592, -122.46313558981997 37.73702335603207)",25,YERBA BUENA AVE,13.84,2.07,20.11,27.97,33.49,way,residential,"[65330342, 65330344]",2,25,Santa Paula Avenue,1,0
37,"LINESTRING (-122.44798149228923 37.784017710626465, -122.44935811267135 37.783691644169096)",25,WOOD ST,21.74,4.54,20.02,28.48,34.08,way,residential,"[65338394, 65335587]",nan,25,Wood Street,1,0
38,"LINESTRING (-122.44935811267135 37.783691644169096, -122.44907940477361 37.78231437417162)",25,WOOD ST,21.74,4.54,20.02,28.48,34.08,way,residential,"[65338394, 65335587]",nan,25,Wood Street,1,0
37,"LINESTRING (-122.44798149228923 37.784017710626465, -122.44935811267135 37.783691644169096)",25,WOOD ST,21.74,4.54,20.02,28.48,34.08,way,residential,"[65335587, 65338394]",nan,25,Wood Street,1,0
38,"LINESTRING (-122.44935811267135 37.783691644169096, -122.44907940477361 37.78231437417162)",25,WOOD ST,21.74,4.54,20.02,28.48,34.08,way,residential,"[65335587, 65338394]",nan,25,Wood Street,1,0
37,"LINESTRING (-122.44798149228923 37.784017710626465, -122.44935811267135 37.783691644169096)",25,WOOD ST,21.74,4.54,20.02,28.48,34.08,way,residential,"[65335587, 65335588]",nan,25,Lupine Avenue,1,0
37,"LINESTRING (-122.44798149228923 37.784017710626465, -122.44935811267135 37.783691644169096)",25,WOOD ST,21.74,4.54,20.02,28.48,34.08,way,residential,"[65335588, 65335587]",nan,25,Lupine Avenue,1,0
38,"LINESTRING (-122.44935811267135 37.783691644169096, -122.44907940477361 37.78231437417162)",25,WOOD ST,21.74,4.54,20.02,28.48,34.08,way,secondary,"[65295239, 65338394]",1,25,Geary Boulevard,0,1
39,"LINESTRING (-122.45546673270553 37.74632798058652, -122.45537483789916 37.74634840873165, -122.45481490346566 37.74621680510058, -122.45472196206396 37.74617825570022, -122.45466409734844 37.746106168279304)",35,WOODSIDE AVE,29.0,6.5,32.8,38.21,42.38,way,secondary,"[65343817, 65343828]",2,35,Woodside Avenue,0,1
40,"LINESTRING (-122.45546673270553 37.74632798058652, -122.45541318774173 37.746263602961875, -122.45485063896197 37.74612928249037, -122.4547690565747 37.74609941545255, -122.45466409734844 37.746106168279304)",35,WOODSIDE AVE,29.0,6.5,32.8,38.21,42.38,way,secondary,"[65343817, 65343828]",2,35,Woodside Avenue,0,1
40,"LINESTRING (-122.45546673270553 37.74632798058652, -122.45541318774173 37.746263602961875, -122.45485063896197 37.74612928249037, -122.4547690565747 37.74609941545255, -122.45466409734844 37.746106168279304)",35,WOODSIDE AVE,29.0,6.5,32.8,38.21,42.38,way,secondary,"[65343865, 65326015]",2,35,Woodside Avenue,0,1
41,"LINESTRING (-122.42787939090178 37.742015444971685, -122.42765222204457 37.73966839921917)",25,WHITNEY ST,30.04,7.79,20.57,28.58,33.1,way,residential,"[65291341, 65291345]",nan,25,Whitney Street,1,0
41,"LINESTRING (-122.42787939090178 37.742015444971685, -122.42765222204457 37.73966839921917)",25,WHITNEY ST,30.04,7.79,20.57,28.58,33.1,way,residential,"[65291345, 65291341]",nan,25,Whitney Street,1,0
42,"LINESTRING (-122.46580699038532 37.74357405033044, -122.46672191799043 37.74142180223564, -122.4667147440057 37.74132372644302)",25,WAWONA ST,58.19,25.0,25.2,29.61,33.09,way,residential,"[65287725, 65287720]",nan,25,Wawona Street,1,0
42,"LINESTRING (-122.46580699038532 37.74357405033044, -122.46672191799043 37.74142180223564, -122.4667147440057 37.74132372644302)",25,WAWONA ST,58.19,25.0,25.2,29.61,33.09,way,residential,"[65287720, 65287725]",nan,25,Wawona Street,1,0
43,"LINESTRING (-122.4667147440057 37.74132372644302, -122.46670296679036 37.7411626962054, -122.4679969732144 37.74000565262412)",25,WAWONA ST,28.0,4.41,21.45,28.17,34.41,way,tertiary,"[1707875334, 65287734]",2,25,Vicente Street,1,0
43,"LINESTRING (-122.4667147440057 37.74132372644302, -122.46670296679036 37.7411626962054, -122.4679969732144 37.74000565262412)",25,WAWONA ST,28.0,4.41,21.45,28.17,34.41,way,tertiary,"[65287734, 1707875334]",2,25,Vicente Street,1,0
43,"LINESTRING (-122.4667147440057 37.74132372644302, -122.46670296679036 37.7411626962054, -122.4679969732144 37.74000565262412)",25,WAWONA ST,28.0,4.41,21.45,28.17,34.41,way,residential,"[65287725, 65327955]",nan,25,Ulloa Street,1,0
43,"LINESTRING (-122.4667147440057 37.74132372644302, -122.46670296679036 37.7411626962054, -122.4679969732144 37.74000565262412)",25,WAWONA ST,28.0,4.41,21.45,28.17,34.41,way,residential,"[65327955, 65287725]",nan,25,Ulloa Street,1,0
45,"LINESTRING (-122.50221539514892 37.73814479608996, -122.50328834679024 37.73809779085532)",25,VICENTE ST,33.62,6.71,21.71,28.29,33.47,way,residential,"[65287892, 65340972]",nan,25,44th Avenue,1,0
45,"LINESTRING (-122.50221539514892 37.73814479608996, -122.50328834679024 37.73809779085532)",25,VICENTE ST,33.62,6.71,21.71,28.29,33.47,way,residential,"[65340972, 65287892]",nan,25,44th Avenue,1,0
46,"LINESTRING (-122.48078675364746 37.739088755933615, -122.4818587389928 37.739041547005485)",25,VICENTE ST,13.14,0.43,21.13,27.24,34.32,way,residential,"[65297149, 4035891345]",nan,25,24th Avenue,1,0
46,"LINESTRING (-122.48078675364746 37.739088755933615, -122.4818587389928 37.739041547005485)",25,VICENTE ST,13.14,0.43,21.13,27.24,34.32,way,residential,"[4035891345, 65297149]",nan,25,24th Avenue,1,0
47,"LINESTRING (-122.42188644602435 37.76491737813413, -122.42173152251404 37.76329976824433)",25,VALENCIA ST,10.36,1.43,17.6,27.88,33.35,way,tertiary,"[65299793, 65317391]",2,25,17th Street,1,0
47,"LINESTRING (-122.42188644602435 37.76491737813413, -122.42173152251404 37.76329976824433)",25,VALENCIA ST,10.36,1.43,17.6,27.88,33.35,way,tertiary,"[65317391, 65299793]",2,25,17th Street,1,0
47,"LINESTRING (-122.42188644602435 37.76491737813413, -122.42173152251404 37.76329976824433)",25,VALENCIA ST,10.36,1.43,17.6,27.88,33.35,way,tertiary,"[65317391, 65319660]","['2', '3']",25,Valencia Street,1,0
47,"LINESTRING (-122.42188644602435 37.76491737813413, -122.42173152251404 37.76329976824433)",25,VALENCIA ST,10.36,1.43,17.6,27.88,33.35,way,tertiary,"[65319660, 65317391]","['2', '3']",25,Valencia Street,1,0
47,"LINESTRING (-122.42188644602435 37.76491737813413, -122.42173152251404 37.76329976824433)",25,VALENCIA ST,10.36,1.43,17.6,27.88,33.35,way,secondary,"[65330725, 65319660]",3,25,16th Street,1,0
47,"LINESTRING (-122.42188644602435 37.76491737813413, -122.42173152251404 37.76329976824433)",25,VALENCIA ST,10.36,1.43,17.6,27.88,33.35,way,secondary,"[65319660, 65330725]",3,25,16th Street,1,0
48,"LINESTRING (-122.40533110376126 37.75306383196333, -122.40520770295953 37.7517869481256)",25,UTAH ST,30.86,4.1,21.72,27.78,32.87,way,residential,"[65288984, 65288983]",nan,25,25th Street,1,0
48,"LINESTRING (-122.40533110376126 37.75306383196333, -122.40520770295953 37.7517869481256)",25,UTAH ST,30.86,4.1,21.72,27.78,32.87,way,residential,"[65288983, 65288984]",nan,25,25th Street,1,0
49,"LINESTRING (-122.47237927964163 37.7268209001606, -122.47245295470996 37.72554991520805)",25,JUNIPERO SERRA BLVD,100.0,100.0,41.05,41.05,41.05,way,residential,"[65306426, 65332985]",nan,25,Stonecrest Drive,1,0
49,"LINESTRING (-122.47237927964163 37.7268209001606, -122.47245295470996 37.72554991520805)",25,JUNIPERO SERRA BLVD,100.0,100.0,41.05,41.05,41.05,way,residential,"[65332985, 65306426]",nan,25,Stonecrest Drive,1,0
